año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|13 - Teusaquillo|40 a 44|14061|9|0.00064006827394922125
2023|14 - Los Mártires|40 a 44|5726|232|0.04051694027244149494
2023|15 - Antonio Nariño|40 a 44|5660|299|0.05282685512367491166
2023|16 - Puente Aranda|40 a 44|18488|337|0.01822803980960623107
2023|17 - La Candelaria|40 a 44|1184|84|0.07094594594594594595
2023|18 - Rafael Uribe Uribe|40 a 44|27432|2129|0.07761009040536599592
2023|19 - Ciudad Bolívar|40 a 44|45566|1954|0.04288285124873809419
2023|1 - Usaquén|40 a 44|46210|747|0.01616533217918199524
2023|20 - Sumapaz|40 a 44|222|144|0.64864864864864864865
2023|2 - Chapinero|40 a 44|15523|45|0.00289892417702763641
2023|3 - Santa Fe|40 a 44|7736|945|0.12215615305067218201
2023|4 - San Cristóbal|40 a 44|27007|1806|0.06687155181989854482
2023|5 - Usme|40 a 44|27240|5024|0.18443465491923641703
2023|6 - Tunjuelito|40 a 44|12408|1653|0.13322050290135396518
2023|7 - Bosa|40 a 44|52298|6650|0.12715591418409881831
2023|8 - Kennedy|40 a 44|79139|5690|0.07189881095288037504
2023|9 - Fontibón|40 a 44|31080|328|0.01055341055341055341
2023|10 - Engativá|45 a 49|51954|1514|0.02914116333679793664
2023|11 - Suba|45 a 49|86402|4962|0.05742922617532001574
2023|12 - Barrios Unidos|45 a 49|10087|123|0.01219391295727173590
2023|13 - Teusaquillo|45 a 49|11332|21|0.00185315919519943523
2023|14 - Los Mártires|45 a 49|4739|220|0.04642329605401983541
2023|15 - Antonio Nariño|45 a 49|4790|318|0.06638830897703549061
2023|16 - Puente Aranda|45 a 49|16030|327|0.02039925140361821585
2023|17 - La Candelaria|45 a 49|1022|78|0.07632093933463796477
2023|18 - Rafael Uribe Uribe|45 a 49|23212|2231|0.09611407892469412373
2023|19 - Ciudad Bolívar|45 a 49|37407|1816|0.04854706338385863608
2023|1 - Usaquén|45 a 49|40142|699|0.01741318319964127348
2023|20 - Sumapaz|45 a 49|228|116|0.50877192982456140351
2023|2 - Chapinero|45 a 49|12516|51|0.00407478427612655801
