año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|19 - Ciudad Bolívar|35 a 39|51368|2126|0.04138763432487151534
2023|1 - Usaquén|35 a 39|48896|740|0.01513416230366492147
2023|20 - Sumapaz|35 a 39|259|159|0.61389961389961389961
2023|2 - Chapinero|35 a 39|18523|61|0.00329320304486314312
2023|3 - Santa Fe|35 a 39|9044|858|0.09486952675807164971
2023|4 - San Cristóbal|35 a 39|29992|1796|0.05988263536943184849
2023|5 - Usme|35 a 39|30332|5290|0.17440327047342740340
2023|6 - Tunjuelito|35 a 39|14128|1578|0.11169309173272933182
2023|7 - Bosa|35 a 39|57111|6943|0.12157027542855141742
2023|8 - Kennedy|35 a 39|83291|6206|0.07450985100431018958
2023|9 - Fontibón|35 a 39|33085|327|0.00988363306634426477
2023|10 - Engativá|40 a 44|60536|1559|0.02575327078102286243
2023|11 - Suba|40 a 44|96110|5325|0.05540526480074914161
2023|12 - Barrios Unidos|40 a 44|11734|141|0.01201636270666439407
2023|13 - Teusaquillo|40 a 44|14061|9|0.00064006827394922125
2023|14 - Los Mártires|40 a 44|5726|232|0.04051694027244149494
2023|15 - Antonio Nariño|40 a 44|5660|299|0.05282685512367491166
2023|16 - Puente Aranda|40 a 44|18488|340|0.01839030722630895716
2023|17 - La Candelaria|40 a 44|1184|84|0.07094594594594594595
2023|18 - Rafael Uribe Uribe|40 a 44|27432|2129|0.07761009040536599592
2023|19 - Ciudad Bolívar|40 a 44|45566|1955|0.04290479743668524777
2023|1 - Usaquén|40 a 44|46210|747|0.01616533217918199524
2023|20 - Sumapaz|40 a 44|222|144|0.64864864864864864865
2023|2 - Chapinero|40 a 44|15523|45|0.00289892417702763641
2023|3 - Santa Fe|40 a 44|7736|945|0.12215615305067218201
2023|4 - San Cristóbal|40 a 44|27007|1808|0.06694560669456066946
2023|5 - Usme|40 a 44|27240|5017|0.18417767988252569750
2023|6 - Tunjuelito|40 a 44|12408|1651|0.13305931656995486783
2023|7 - Bosa|40 a 44|52298|6663|0.12740448965543615435
2023|8 - Kennedy|40 a 44|79139|5695|0.07196199092735566535
2023|9 - Fontibón|40 a 44|31080|330|0.01061776061776061776
2023|10 - Engativá|45 a 49|51954|1516|0.02917965892905262347
2023|11 - Suba|45 a 49|86402|4960|0.05740607856299622694
2023|12 - Barrios Unidos|45 a 49|10087|123|0.01219391295727173590
2023|13 - Teusaquillo|45 a 49|11332|21|0.00185315919519943523
2023|14 - Los Mártires|45 a 49|4739|220|0.04642329605401983541
2023|15 - Antonio Nariño|45 a 49|4790|317|0.06617954070981210856
2023|16 - Puente Aranda|45 a 49|16030|328|0.02046163443543356207
2023|17 - La Candelaria|45 a 49|1022|78|0.07632093933463796477
